DateTime,Discharge/cfs,Temperature/C
2021/9/26 00:00,3007,11
2021/9/26 01:00,3011,10.9
2021/9/26 02:00,3010,10.8
2021/9/26 03:00,3007,10.6
2021/9/26 04:00,3008,10.5
2021/9/26 05:00,3007,10.4
2021/9/26 06:00,3007,10.3
2021/9/26 07:00,3007,10.2
2021/9/26 08:00,3007,10.1
2021/9/26 09:00,3008,10.1
2021/9/26 10:00,3009,10.2
2021/9/26 11:00,3008,10.4
2021/9/26 12:00,3006,10.6
2021/9/26 13:00,3012,10.8
2021/9/26 14:00,3007,11.1
2021/9/26 15:00,3008,11.3
2021/9/26 16:00,2999,11.4
2021/9/26 17:00,3002,11.5
2021/9/26 18:00,3003,11.5
2021/9/26 19:00,3005,11.5
2021/9/26 20:00,3010,11.5
2021/9/26 21:00,3014,11.5
2021/9/26 22:00,3014,11.4
2021/9/26 23:00,3021,11.3
2021/9/27 00:00,3019,11.2
2021/9/27 01:00,3018,11.1
2021/9/27 02:00,3019,11
2021/9/27 03:00,3020,10.8
2021/9/27 04:00,3020,10.7
2021/9/27 05:00,3017,10.6
2021/9/27 06:00,3019,10.5
2021/9/27 07:00,3018,10.5
2021/9/27 08:00,3001,10.5
2021/9/27 09:00,3001,10.5
2021/9/27 10:00,3021,10.6
2021/9/27 11:00,3038,10.8
2021/9/27 12:00,3019,10.9
2021/9/27 13:00,3016,11.1
2021/9/27 14:00,3020,11.2
2021/9/27 15:00,3017,11.4
2021/9/27 16:00,3019,11.4
2021/9/27 17:00,3021,11.5
2021/9/27 18:00,3016,11.5
2021/9/27 19:00,3012,11.5
2021/9/27 20:00,3008,11.4
2021/9/27 21:00,3007,11.4
2021/9/27 22:00,3006,11.3
2021/9/27 23:00,3008,11.3
2021/9/28 00:00,3011,11.2
2021/9/28 01:00,3008,11.1
2021/9/28 02:00,3008,11.1
2021/9/28 03:00,3010,11
2021/9/28 04:00,3009,11
2021/9/28 05:00,3008,10.9
2021/9/28 06:00,3015,10.8
2021/9/28 07:00,3032,10.8
2021/9/28 08:00,3040,10.8
2021/9/28 09:00,3049,10.8
2021/9/28 10:00,3054,10.8
2021/9/28 11:00,3071,10.9
2021/9/28 12:00,3075,10.9
2021/9/28 13:00,3070,11
2021/9/28 14:00,3057,11
2021/9/28 15:00,3052,11.1
2021/9/28 16:00,3052,11.2
2021/9/28 17:00,3047,11.1
2021/9/28 18:00,3045,11
2021/9/28 19:00,3044,10.9
2021/9/28 20:00,3036,10.8
2021/9/28 21:00,3034,10.8
2021/9/28 22:00,3032,10.7
2021/9/28 23:00,3041,10.6
2021/9/29 00:00,3044,10.5
2021/9/29 01:00,3049,10.4
2021/9/29 02:00,3050,10.3
2021/9/29 03:00,3048,10.3
2021/9/29 04:00,3042,10.2
2021/9/29 05:00,3038,10.1
2021/9/29 06:00,3036,10
2021/9/29 07:00,3037,10
2021/9/29 08:00,3039,10
2021/9/29 09:00,3040,10
2021/9/29 10:00,3040,10.1
2021/9/29 11:00,3038,10.2
2021/9/29 12:00,3041,10.4
2021/9/29 13:00,3048,10.6
2021/9/29 14:00,3050,10.7
2021/9/29 15:00,3050,10.8
2021/9/29 16:00,3058,10.8
2021/9/29 17:00,3064,10.8
2021/9/29 18:00,3069,10.7
2021/9/29 19:00,3067,10.7
2021/9/29 20:00,3068,10.6
2021/9/29 21:00,3064,10.5
2021/9/29 22:00,3066,10.4
2021/9/29 23:00,3057,10.4
2021/9/30 00:00,3057,10.2
2021/9/30 01:00,3057,10.2
2021/9/30 02:00,3053,10.1
2021/9/30 03:00,3046,10
2021/9/30 04:00,3047,9.8
2021/9/30 05:00,3046,9.7
2021/9/30 06:00,3046,9.6
2021/9/30 07:00,3043,9.6
2021/9/30 08:00,3044,9.5
2021/9/30 09:00,3044,9.5
2021/9/30 10:00,3043,9.6
2021/9/30 11:00,3038,9.8
2021/9/30 12:00,3034,10
2021/9/30 13:00,3033,10.2
2021/9/30 14:00,3034,10.4
2021/9/30 15:00,3036,10.5
2021/9/30 16:00,3035,10.6
2021/9/30 17:00,3036,10.7
2021/9/30 18:00,3032,10.7
2021/9/30 19:00,3033,10.8
2021/9/30 20:00,3031,10.8
2021/9/30 21:00,3031,10.8
2021/9/30 22:00,3031,10.6
2021/9/30 23:00,3031,10.6
2021/10/1 00:00,3031,10.5
2021/10/1 01:00,3033,10.3
2021/10/1 02:00,3029,10.3
2021/10/1 03:00,3028,10.2
2021/10/1 04:00,3029,10
2021/10/1 05:00,3030,9.9
2021/10/1 06:00,3031,9.8
2021/10/1 07:00,3029,9.7
2021/10/1 08:00,3028,9.7
2021/10/1 09:00,3029,9.7
2021/10/1 10:00,3031,9.8
2021/10/1 11:00,3027,10
2021/10/1 12:00,3026,10.2
2021/10/1 13:00,3024,10.4
2021/10/1 14:00,3025,10.6
2021/10/1 15:00,3016,10.8
2021/10/1 16:00,3015,11
2021/10/1 17:00,3024,11
2021/10/1 18:00,3016,11.1
2021/10/1 19:00,3024,11.2
2021/10/1 20:00,3024,11.2
2021/10/1 21:00,3027,11.1
