DateTime,LMP
2021/9/26 00:00,53.87
2021/9/26 01:00,52.95
2021/9/26 02:00,53.77
2021/9/26 03:00,53.2
2021/9/26 04:00,54.41
2021/9/26 05:00,56.14
2021/9/26 06:00,57.92
2021/9/26 07:00,51.75
2021/9/26 08:00,43.07
2021/9/26 09:00,37.01
2021/9/26 10:00,35.6
2021/9/26 11:00,33.63
2021/9/26 12:00,37.44
2021/9/26 13:00,40.81
2021/9/26 14:00,44.75
2021/9/26 15:00,50.17
2021/9/26 16:00,50.25
2021/9/26 17:00,62.54
2021/9/26 18:00,72.51
2021/9/26 19:00,70.61
2021/9/26 20:00,66.04
2021/9/26 21:00,63.2
2021/9/26 22:00,59.71
2021/9/26 23:00,54.59
2021/9/27 00:00,54.14
2021/9/27 01:00,51.28
2021/9/27 02:00,49.9
2021/9/27 03:00,49.92
2021/9/27 04:00,51.2
2021/9/27 05:00,57.93
2021/9/27 06:00,63.18
2021/9/27 07:00,58.9
2021/9/27 08:00,50.98
2021/9/27 09:00,46.91
2021/9/27 10:00,42.07
2021/9/27 11:00,36.94
2021/9/27 12:00,38.83
2021/9/27 13:00,42.6
2021/9/27 14:00,46.18
2021/9/27 15:00,51.41
2021/9/27 16:00,54.96
2021/9/27 17:00,64.77
2021/9/27 18:00,80.67
2021/9/27 19:00,74.92
2021/9/27 20:00,65.73
2021/9/27 21:00,64
2021/9/27 22:00,62.38
2021/9/27 23:00,56.09
2021/9/28 00:00,52.49
2021/9/28 01:00,51.15
2021/9/28 02:00,49.78
2021/9/28 03:00,49.09
2021/9/28 04:00,50.88
2021/9/28 05:00,57.32
2021/9/28 06:00,67.76
2021/9/28 07:00,62.38
2021/9/28 08:00,51.31
2021/9/28 09:00,43.58
2021/9/28 10:00,37.26
2021/9/28 11:00,31.76
2021/9/28 12:00,32.01
2021/9/28 13:00,32.13
2021/9/28 14:00,36.38
2021/9/28 15:00,44.88
2021/9/28 16:00,52.09
2021/9/28 17:00,65.11
2021/9/28 18:00,82.81
2021/9/28 19:00,78.59
2021/9/28 20:00,67.44
2021/9/28 21:00,64.45
2021/9/28 22:00,61.67
2021/9/28 23:00,59.78
2021/9/29 00:00,58.26
2021/9/29 01:00,55.32
2021/9/29 02:00,53.7
2021/9/29 03:00,53.06
2021/9/29 04:00,54.2
2021/9/29 05:00,63.44
2021/9/29 06:00,78.89
2021/9/29 07:00,78.7
2021/9/29 08:00,60.64
2021/9/29 09:00,52.22
2021/9/29 10:00,46.84
2021/9/29 11:00,45.75
2021/9/29 12:00,43.18
2021/9/29 13:00,48.23
2021/9/29 14:00,52.03
2021/9/29 15:00,55.89
2021/9/29 16:00,62.55
2021/9/29 17:00,73.39
2021/9/29 18:00,86.34
2021/9/29 19:00,82.74
2021/9/29 20:00,73.29
2021/9/29 21:00,70.42
2021/9/29 22:00,65.7
2021/9/29 23:00,62.96
2021/9/30 00:00,60.21
2021/9/30 01:00,59.02
2021/9/30 02:00,56.51
2021/9/30 03:00,54.09
2021/9/30 04:00,56.95
2021/9/30 05:00,62.19
2021/9/30 06:00,67.98
2021/9/30 07:00,64.15
2021/9/30 08:00,52.74
2021/9/30 09:00,41.25
2021/9/30 10:00,36.9
2021/9/30 11:00,41.22
2021/9/30 12:00,51.25
2021/9/30 13:00,50.68
2021/9/30 14:00,56.63
2021/9/30 15:00,58.77
2021/9/30 16:00,63.2
2021/9/30 17:00,83.17
2021/9/30 18:00,107.03
2021/9/30 19:00,88.77
2021/9/30 20:00,75.68
2021/9/30 21:00,72.46
2021/9/30 22:00,67
2021/9/30 23:00,64.43
2021/10/1 00:00,60.83
2021/10/1 01:00,57.57
2021/10/1 02:00,56.54
2021/10/1 03:00,55.29
2021/10/1 04:00,57.24
2021/10/1 05:00,59.88
2021/10/1 06:00,65.9
2021/10/1 07:00,64.19
2021/10/1 08:00,55.28
2021/10/1 09:00,49.79
2021/10/1 10:00,46.06
2021/10/1 11:00,48.3
2021/10/1 12:00,54.84
2021/10/1 13:00,53.74
2021/10/1 14:00,59.35
2021/10/1 15:00,60.72
2021/10/1 16:00,65.16
2021/10/1 17:00,83.61
2021/10/1 18:00,104.57
2021/10/1 19:00,86.64
2021/10/1 20:00,75.24
2021/10/1 21:00,73.53
2021/10/1 22:00,65.87
2021/10/1 23:00,61.74
2021/10/2 00:00,62.18
2021/10/2 01:00,61.82
2021/10/2 02:00,61.59
2021/10/2 03:00,58.03
2021/10/2 04:00,58.94
2021/10/2 05:00,61.74
2021/10/2 06:00,64.78
2021/10/2 07:00,60.81
2021/10/2 08:00,51.4
2021/10/2 09:00,44.28
2021/10/2 10:00,38.99
2021/10/2 11:00,41.2
2021/10/2 12:00,46.48
2021/10/2 13:00,50.31
2021/10/2 14:00,54.11
2021/10/2 15:00,59.34
2021/10/2 16:00,65.22
2021/10/2 17:00,75.72
2021/10/2 18:00,94.74
2021/10/2 19:00,82.76
2021/10/2 20:00,73.8
2021/10/2 21:00,71.64
2021/10/2 22:00,68.01
2021/10/2 23:00,62.77
2021/10/3 00:00,62.79
2021/10/3 01:00,62.27
2021/10/3 02:00,58.47
2021/10/3 03:00,57.69
2021/10/3 04:00,59.22
2021/10/3 05:00,61.82
2021/10/3 06:00,62.81
2021/10/3 07:00,57.76
2021/10/3 08:00,47.18
2021/10/3 09:00,35.02
2021/10/3 10:00,32.54
2021/10/3 11:00,37.23
2021/10/3 12:00,46.72
2021/10/3 13:00,52.92
2021/10/3 14:00,56.23
2021/10/3 15:00,61.13
2021/10/3 16:00,64.95
2021/10/3 17:00,83.63
2021/10/3 18:00,113.59
2021/10/3 19:00,94.74
2021/10/3 20:00,77.17
2021/10/3 21:00,74.98
2021/10/3 22:00,65.94
2021/10/3 23:00,62.85
2021/10/4 00:00,64.81
2021/10/4 01:00,59.97
2021/10/4 02:00,57.51
2021/10/4 03:00,56.2
2021/10/4 04:00,58.01
2021/10/4 05:00,62.64
2021/10/4 06:00,70.5
2021/10/4 07:00,70.94
2021/10/4 08:00,65.3
2021/10/4 09:00,60.52
2021/10/4 10:00,57.02
2021/10/4 11:00,57.76
2021/10/4 12:00,62.62
2021/10/4 13:00,71.44
2021/10/4 14:00,71.76
2021/10/4 15:00,75.82
2021/10/4 16:00,83.53
2021/10/4 17:00,101.32
2021/10/4 18:00,124.3
2021/10/4 19:00,95.89
2021/10/4 20:00,86.33
2021/10/4 21:00,81.36
2021/10/4 22:00,74.96
2021/10/4 23:00,70.43
2021/10/5 00:00,67.94
2021/10/5 01:00,64.15
2021/10/5 02:00,62.17
2021/10/5 03:00,61.44
2021/10/5 04:00,62.95
2021/10/5 05:00,65.88
2021/10/5 06:00,75.01
2021/10/5 07:00,74.97
2021/10/5 08:00,62.54
2021/10/5 09:00,57.11
2021/10/5 10:00,54.08
2021/10/5 11:00,51.73
2021/10/5 12:00,53.23
2021/10/5 13:00,55.37
2021/10/5 14:00,54.73
2021/10/5 15:00,56.17
2021/10/5 16:00,62.05
2021/10/5 17:00,77.31
2021/10/5 18:00,90.84
2021/10/5 19:00,83.11
2021/10/5 20:00,76.37
2021/10/5 21:00,69.98
2021/10/5 22:00,67.44
2021/10/5 23:00,64
2021/10/6 00:00,60.36
2021/10/6 01:00,59.26
2021/10/6 02:00,57.79
2021/10/6 03:00,57.69
2021/10/6 04:00,59.88
2021/10/6 05:00,63.12
2021/10/6 06:00,73.37
2021/10/6 07:00,72.97
2021/10/6 08:00,64.39
2021/10/6 09:00,56.94
2021/10/6 10:00,56.01
2021/10/6 11:00,55.15
2021/10/6 12:00,56.97
2021/10/6 13:00,56.85
2021/10/6 14:00,58.02
2021/10/6 15:00,60.38
2021/10/6 16:00,65.83
2021/10/6 17:00,79.27
2021/10/6 18:00,89.03
2021/10/6 19:00,84.22
2021/10/6 20:00,78.79
2021/10/6 21:00,74.08
2021/10/6 22:00,66.97
2021/10/6 23:00,62.41
2021/10/7 00:00,62.82
2021/10/7 01:00,56.93
2021/10/7 02:00,55.83
2021/10/7 03:00,55.99
2021/10/7 04:00,56.86
2021/10/7 05:00,62.79
2021/10/7 06:00,73.58
2021/10/7 07:00,84.57
2021/10/7 08:00,66.3
2021/10/7 09:00,60.05
2021/10/7 10:00,57.49
2021/10/7 11:00,55.28
2021/10/7 12:00,53.01
2021/10/7 13:00,53.02
2021/10/7 14:00,55.09
2021/10/7 15:00,58.79
2021/10/7 16:00,62.8
2021/10/7 17:00,78.58
2021/10/7 18:00,87.73
2021/10/7 19:00,82.7
2021/10/7 20:00,79.98
2021/10/7 21:00,76.03
2021/10/7 22:00,67.61
2021/10/7 23:00,62.9
2021/10/8 00:00,60.1
2021/10/8 01:00,55.54
2021/10/8 02:00,54.42
2021/10/8 03:00,54.53
2021/10/8 04:00,55.71
2021/10/8 05:00,62.4
2021/10/8 06:00,70.21
2021/10/8 07:00,78.16
2021/10/8 08:00,65.13
2021/10/8 09:00,60.43
2021/10/8 10:00,56.65
2021/10/8 11:00,53.25
2021/10/8 12:00,48.81
2021/10/8 13:00,45.3
2021/10/8 14:00,44.07
2021/10/8 15:00,45.85
2021/10/8 16:00,49.58
2021/10/8 17:00,60.94
2021/10/8 18:00,73.96
2021/10/8 19:00,73.44
2021/10/8 20:00,69.53
2021/10/8 21:00,68.63
2021/10/8 22:00,62.42
2021/10/8 23:00,59.14
2021/10/9 00:00,53
2021/10/9 01:00,51.97
2021/10/9 02:00,50.37
2021/10/9 03:00,49.69
2021/10/9 04:00,51.27
2021/10/9 05:00,55.13
2021/10/9 06:00,58.11
2021/10/9 07:00,57.66
2021/10/9 08:00,46.34
2021/10/9 09:00,30.19
2021/10/9 10:00,24.37
2021/10/9 11:00,21.66
2021/10/9 12:00,21.49
2021/10/9 13:00,22.07
2021/10/9 14:00,23.15
2021/10/9 15:00,27.61
2021/10/9 16:00,38.26
2021/10/9 17:00,65.33
2021/10/9 18:00,71.15
2021/10/9 19:00,69.98
2021/10/9 20:00,66.76
2021/10/9 21:00,63.98
2021/10/9 22:00,61.02
2021/10/9 23:00,57.47
2021/10/10 00:00,57.6
2021/10/10 01:00,55.17
2021/10/10 02:00,53.82
2021/10/10 03:00,53.67
2021/10/10 04:00,53.98
2021/10/10 05:00,57.34
2021/10/10 06:00,61.35
2021/10/10 07:00,54.55
2021/10/10 08:00,41.9
2021/10/10 09:00,27.96
2021/10/10 10:00,23.37
2021/10/10 11:00,20.05
2021/10/10 12:00,19.97
2021/10/10 13:00,21.39
2021/10/10 14:00,24.7
2021/10/10 15:00,28.84
2021/10/10 16:00,34.63
2021/10/10 17:00,63.79
2021/10/10 18:00,76.33
2021/10/10 19:00,72.42
2021/10/10 20:00,68.08
2021/10/10 21:00,62.86
2021/10/10 22:00,59.01
2021/10/10 23:00,54.1
2021/10/11 00:00,55.14
2021/10/11 01:00,52.89
2021/10/11 02:00,51.91
2021/10/11 03:00,51.65
2021/10/11 04:00,52.89
2021/10/11 05:00,59.1
2021/10/11 06:00,69.87
2021/10/11 07:00,68.06
2021/10/11 08:00,51.61
2021/10/11 09:00,35.49
2021/10/11 10:00,31.07
2021/10/11 11:00,24.59
2021/10/11 12:00,23.36
2021/10/11 13:00,23.72
2021/10/11 14:00,29.15
2021/10/11 15:00,34.21
2021/10/11 16:00,41.37
2021/10/11 17:00,66.55
2021/10/11 18:00,78.19
2021/10/11 19:00,77.53
2021/10/11 20:00,75.24
2021/10/11 21:00,66.95
2021/10/11 22:00,61.12
2021/10/11 23:00,57
2021/10/12 00:00,57.04
2021/10/12 01:00,53.47
2021/10/12 02:00,52.7
2021/10/12 03:00,51.95
2021/10/12 04:00,53.98
2021/10/12 05:00,62.53
2021/10/12 06:00,73.32
2021/10/12 07:00,72.63
2021/10/12 08:00,53.4
2021/10/12 09:00,35.35
2021/10/12 10:00,25.89
2021/10/12 11:00,23.5
2021/10/12 12:00,21.55
2021/10/12 13:00,23.11
2021/10/12 14:00,26.17
2021/10/12 15:00,30
2021/10/12 16:00,43.05
2021/10/12 17:00,72.54
2021/10/12 18:00,83.49
2021/10/12 19:00,80.73
2021/10/12 20:00,75.21
2021/10/12 21:00,72.54
2021/10/12 22:00,64.96
2021/10/12 23:00,59.71
2021/10/13 00:00,57.81
2021/10/13 01:00,55.77
2021/10/13 02:00,54.37
2021/10/13 03:00,53.9
2021/10/13 04:00,54.81
2021/10/13 05:00,64.13
2021/10/13 06:00,74.43
2021/10/13 07:00,75.87
2021/10/13 08:00,57.74
2021/10/13 09:00,46.21
2021/10/13 10:00,36.77
2021/10/13 11:00,34.41
2021/10/13 12:00,33.63
2021/10/13 13:00,33.71
2021/10/13 14:00,36.1
2021/10/13 15:00,36.39
2021/10/13 16:00,45.93
2021/10/13 17:00,70.82
2021/10/13 18:00,84.21
2021/10/13 19:00,79.04
2021/10/13 20:00,74.3
2021/10/13 21:00,70.96
2021/10/13 22:00,62.79
2021/10/13 23:00,57.74
2021/10/14 00:00,59.54
2021/10/14 01:00,58.5
2021/10/14 02:00,57.19
2021/10/14 03:00,56.99
2021/10/14 04:00,61.4
2021/10/14 05:00,65.2
2021/10/14 06:00,77.43
2021/10/14 07:00,79.18
2021/10/14 08:00,65.12
2021/10/14 09:00,50.14
2021/10/14 10:00,41.54
2021/10/14 11:00,39.63
2021/10/14 12:00,36.59
2021/10/14 13:00,40.62
2021/10/14 14:00,43.96
2021/10/14 15:00,48.67
2021/10/14 16:00,63.76
2021/10/14 17:00,83.98
2021/10/14 18:00,94.13
2021/10/14 19:00,88.94
2021/10/14 20:00,80.77
2021/10/14 21:00,75.86
2021/10/14 22:00,71.77
2021/10/14 23:00,63.32
2021/10/15 00:00,60.86
2021/10/15 01:00,57.15
2021/10/15 02:00,56.07
2021/10/15 03:00,55.85
2021/10/15 04:00,56.61
2021/10/15 05:00,64.28
2021/10/15 06:00,76.7
2021/10/15 07:00,77.92
2021/10/15 08:00,64.19
2021/10/15 09:00,45.57
2021/10/15 10:00,41.33
2021/10/15 11:00,40.12
2021/10/15 12:00,39.72
2021/10/15 13:00,45.77
2021/10/15 14:00,48.32
2021/10/15 15:00,59.8
2021/10/15 16:00,62.17
2021/10/15 17:00,86.99
2021/10/15 18:00,104.87
2021/10/15 19:00,94.61
2021/10/15 20:00,81.11
2021/10/15 21:00,76.98
2021/10/15 22:00,73.63
2021/10/15 23:00,67.76
2021/10/16 00:00,64.69
2021/10/16 01:00,62.09
2021/10/16 02:00,56.99
2021/10/16 03:00,54.48
2021/10/16 04:00,55.74
2021/10/16 05:00,60.32
2021/10/16 06:00,65.4
2021/10/16 07:00,64.3
2021/10/16 08:00,52.3
2021/10/16 09:00,33.02
2021/10/16 10:00,27.49
2021/10/16 11:00,25.36
2021/10/16 12:00,26.3
2021/10/16 13:00,33.73
2021/10/16 14:00,37.26
2021/10/16 15:00,50.68
2021/10/16 16:00,59.09
2021/10/16 17:00,80.26
2021/10/16 18:00,96.79
2021/10/16 19:00,79.42
2021/10/16 20:00,74.25
2021/10/16 21:00,72.56
2021/10/16 22:00,67.39
2021/10/16 23:00,63.32
2021/10/17 00:00,65.97
2021/10/17 01:00,64.88
2021/10/17 02:00,57.67
2021/10/17 03:00,57.09
2021/10/17 04:00,56.74
2021/10/17 05:00,58.41
2021/10/17 06:00,64.34
2021/10/17 07:00,60
2021/10/17 08:00,54.64
2021/10/17 09:00,40.23
2021/10/17 10:00,36.02
2021/10/17 11:00,28.36
2021/10/17 12:00,24.34
2021/10/17 13:00,24.69
2021/10/17 14:00,25.64
2021/10/17 15:00,33.38
2021/10/17 16:00,41.79
2021/10/17 17:00,68.06
2021/10/17 18:00,79.1
2021/10/17 19:00,74.99
2021/10/17 20:00,68.99
2021/10/17 21:00,67.52
2021/10/17 22:00,62.25
2021/10/17 23:00,56.94
2021/10/18 00:00,54.06
2021/10/18 01:00,52.07
2021/10/18 02:00,50.32
2021/10/18 03:00,50.59
2021/10/18 04:00,52.15
2021/10/18 05:00,59.34
2021/10/18 06:00,73.13
2021/10/18 07:00,75.58
2021/10/18 08:00,60.02
2021/10/18 09:00,51.79
2021/10/18 10:00,42.42
2021/10/18 11:00,40.01
2021/10/18 12:00,36.7
2021/10/18 13:00,31.81
2021/10/18 14:00,34.92
2021/10/18 15:00,40.76
2021/10/18 16:00,53.56
2021/10/18 17:00,76.4
2021/10/18 18:00,89.53
2021/10/18 19:00,84.35
2021/10/18 20:00,78.52
2021/10/18 21:00,76.52
2021/10/18 22:00,70.46
2021/10/18 23:00,64.81
2021/10/19 00:00,63.3
2021/10/19 01:00,59.14
2021/10/19 02:00,58.18
2021/10/19 03:00,58.1
2021/10/19 04:00,64.98
2021/10/19 05:00,69.53
2021/10/19 06:00,83.57
2021/10/19 07:00,87.14
2021/10/19 08:00,65.64
2021/10/19 09:00,53.28
2021/10/19 10:00,47.28
2021/10/19 11:00,45.44
2021/10/19 12:00,41.08
2021/10/19 13:00,41.07
2021/10/19 14:00,43.26
2021/10/19 15:00,48.42
2021/10/19 16:00,60.61
2021/10/19 17:00,81.95
2021/10/19 18:00,107.87
2021/10/19 19:00,95.93
2021/10/19 20:00,87.33
2021/10/19 21:00,81.61
2021/10/19 22:00,71.71
2021/10/19 23:00,66.78
2021/10/20 00:00,57
2021/10/20 01:00,55.13
2021/10/20 02:00,54.14
2021/10/20 03:00,54
2021/10/20 04:00,55.93
2021/10/20 05:00,63.99
2021/10/20 06:00,82.1
2021/10/20 07:00,82.59
2021/10/20 08:00,63.59
2021/10/20 09:00,55.69
2021/10/20 10:00,53.96
2021/10/20 11:00,51.16
2021/10/20 12:00,51.4
2021/10/20 13:00,52.96
2021/10/20 14:00,53.51
2021/10/20 15:00,57.41
2021/10/20 16:00,60.31
2021/10/20 17:00,81.59
2021/10/20 18:00,99.37
2021/10/20 19:00,87.24
2021/10/20 20:00,80.26
2021/10/20 21:00,76.8
2021/10/20 22:00,68.38
2021/10/20 23:00,63.98
2021/10/21 00:00,55.63
2021/10/21 01:00,54.03
2021/10/21 02:00,53.36
2021/10/21 03:00,53.56
2021/10/21 04:00,55.13
2021/10/21 05:00,64.76
2021/10/21 06:00,77.27
2021/10/21 07:00,87.81
2021/10/21 08:00,60.27
2021/10/21 09:00,54.3
2021/10/21 10:00,51.58
2021/10/21 11:00,48.23
2021/10/21 12:00,48.22
2021/10/21 13:00,50.81
2021/10/21 14:00,53.38
2021/10/21 15:00,58.79
2021/10/21 16:00,59.65
2021/10/21 17:00,85.94
2021/10/21 18:00,99.68
2021/10/21 19:00,83.13
2021/10/21 20:00,80.83
2021/10/21 21:00,68.45
2021/10/21 22:00,63.61
2021/10/21 23:00,60.03
2021/10/22 00:00,59.6
2021/10/22 01:00,55.13
2021/10/22 02:00,52.59
2021/10/22 03:00,52.29
2021/10/22 04:00,54.48
2021/10/22 05:00,63.66
2021/10/22 06:00,72.23
