DateTime,MW
2021/9/26 00:00,1054.36
2021/9/26 01:00,1063.92
2021/9/26 02:00,1046.43
2021/9/26 03:00,1028.61
2021/9/26 04:00,998.93
2021/9/26 05:00,977.07
2021/9/26 06:00,944.74
2021/9/26 07:00,897.09
2021/9/26 08:00,784.05
2021/9/26 09:00,674.8
2021/9/26 10:00,571.58
2021/9/26 11:00,571.48
2021/9/26 12:00,560.81
2021/9/26 13:00,579.2
2021/9/26 14:00,633.48
2021/9/26 15:00,690.71
2021/9/26 16:00,752.58
2021/9/26 17:00,822.32
2021/9/26 18:00,880.15
2021/9/26 19:00,955.75
2021/9/26 20:00,988.54
2021/9/26 21:00,1023.05
2021/9/26 22:00,1030.24
2021/9/26 23:00,1030.04
2021/9/27 00:00,1013.5
2021/9/27 01:00,1006.76
2021/9/27 02:00,1003.37
2021/9/27 03:00,1005.36
2021/9/27 04:00,978.58
2021/9/27 05:00,923.8
2021/9/27 06:00,861.53
2021/9/27 07:00,807.08
2021/9/27 08:00,752.65
2021/9/27 09:00,696.49
2021/9/27 10:00,626.85
2021/9/27 11:00,643.74
2021/9/27 12:00,626.52
2021/9/27 13:00,653.96
2021/9/27 14:00,753.12
2021/9/27 15:00,868.42
2021/9/27 16:00,932.18
2021/9/27 17:00,960.89
2021/9/27 18:00,948.07
2021/9/27 19:00,938.79
2021/9/27 20:00,942.54
2021/9/27 21:00,945.34
2021/9/27 22:00,932.79
2021/9/27 23:00,865.85
2021/9/28 00:00,783.04
2021/9/28 01:00,680.11
2021/9/28 02:00,572.69
2021/9/28 03:00,445.58
2021/9/28 04:00,355.96
2021/9/28 05:00,325.19
2021/9/28 06:00,288.98
2021/9/28 07:00,283.9
2021/9/28 08:00,298.77
2021/9/28 09:00,404.89
2021/9/28 10:00,498.24
2021/9/28 11:00,516.08
2021/9/28 12:00,521.44
2021/9/28 13:00,538.34
2021/9/28 14:00,495.65
2021/9/28 15:00,458.21
2021/9/28 16:00,441.2
2021/9/28 17:00,430.93
2021/9/28 18:00,425.2
2021/9/28 19:00,395.98
2021/9/28 20:00,364.23
2021/9/28 21:00,376.98
2021/9/28 22:00,419.9
2021/9/28 23:00,437.83
2021/9/29 00:00,488.29
2021/9/29 01:00,481.17
2021/9/29 02:00,469.97
2021/9/29 03:00,491.53
2021/9/29 04:00,461.15
2021/9/29 05:00,437.55
2021/9/29 06:00,398.77
2021/9/29 07:00,392.15
2021/9/29 08:00,328.76
2021/9/29 09:00,276.96
2021/9/29 10:00,304.37
2021/9/29 11:00,284.69
2021/9/29 12:00,247.39
2021/9/29 13:00,223.57
2021/9/29 14:00,209.31
2021/9/29 15:00,230.51
2021/9/29 16:00,291.94
2021/9/29 17:00,350.3
2021/9/29 18:00,398.81
2021/9/29 19:00,444.3
2021/9/29 20:00,430.58
2021/9/29 21:00,432.49
2021/9/29 22:00,447.39
2021/9/29 23:00,437.67
2021/9/30 00:00,430.19
2021/9/30 01:00,364.41
2021/9/30 02:00,301.01
2021/9/30 03:00,250.57
2021/9/30 04:00,225.65
2021/9/30 05:00,200.68
2021/9/30 06:00,189.5
2021/9/30 07:00,170.56
2021/9/30 08:00,140.33
2021/9/30 09:00,125.31
2021/9/30 10:00,120.14
2021/9/30 11:00,94.54
2021/9/30 12:00,63.5
2021/9/30 13:00,51.91
2021/9/30 14:00,42.33
2021/9/30 15:00,38.21
2021/9/30 16:00,31.16
2021/9/30 17:00,45.16
2021/9/30 18:00,76.54
2021/9/30 19:00,109.52
